Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal
Nonliterary,1,27,0,A bagpipe is a newborn baby.,A bagpipe is loud.,A bagpipe is delicate.,A bagpipe is a musical instrument.,A bagpipe is quiet.,4.25,3.88,2.19,2.44,2.21,2.72,2.96,1.82,1.70,1.31,,1
Nonliterary,1,48,0,A beauitful woman is a desert flower.,A beautiful woman stands out.,A beautiful woman is colorful.,A beautiful woman is a person.,A beautiful woman blends in.,5.33,5.59,2.77,3.87,4.73,4.70,4.13,3.90,4.00,2.10,,1
Nonliterary,1,135,0,A braggart is a snowman.,A braggart is fragile.,A braggart is round.,A braggart is a person who boasts.,A braggart is warm and sensitive.,3.07,2.79,2.63,2.30,1.97,2.60,2.62,1.80,2.10,0.93,,1
Nonliterary,1,30,0,A busybody is a patch of crabgrass.,A busybody is a nuassiance.,A busybody is green.,A busybody is someone who can't stop moving.,A busybody is a help.,4.38,4.54,2.77,3.84,2.93,3.45,3.69,2.96,3.37,1.55,,1
Nonliterary,1,108,1,A butterfly is a flower.,A butterfly is beautiful.,A butterfly often appears on the ground.,A butterfly is a flying insect.,A butterfly is ugly.,4.80,5.10,2.33,3.27,4.30,3.90,3.87,3.73,3.13,1.64,,1
Nonliterary,1,57,1,A butterfly is a winged rainbow.,A butterfly is colorful.,A butterfly appears after rain.,A butterfly is an insect.,A butterfly is ugly.,5.43,5.70,2.73,4.60,4.70,4.80,4.97,3.90,3.90,1.79,,1
Nonliterary,1,78,0,A camel is an ocean liner.,A camel can carry a lot of supplies.,A camel can float.,A camel is an animal.,A camel can't carry very many supplies.,4.17,3.77,2.33,3.20,2.83,3.30,3.17,2.90,2.66,1.62,,1
Nonliterary,1,102,0,A chicken is a walking egg carton.,A chicken is convenient for producing eggs.,A chicken fits in a box.,A chicken is a bird.,A chicken is inconvenient.,5.70,5.80,3.00,3.70,3.83,3.63,5.17,3.03,3.83,1.79,,1
Nonliterary,1,53,0,A child's mind is an apple core.,A child's mind is the foundation for an adult's mind.,A child's mind is growing.,A child's mind is a young mind.,A child's mind is trivial.,3.10,3.38,2.47,2.57,2.27,2.73,2.73,1.63,2.00,1.17,,1
Nonliterary,1,7,0,A desert is a sea. ,A desert is vast.,A desert is flat.,A desert is a hot and dry area of land.,A desert is small.,5.32,4.71,2.40,3.68,4.07,4.38,3.73,4.41,3.26,1.81,,1
Nonliterary,1,124,0,A dilemma is a cactus.,A dilemma is complicated and potentially painful.,A dilemma is small and potentially bloody.,A dilemma is a difficult situation.,A dilemma is simple and safe.,3.97,4.40,2.20,3.97,3.17,3.66,3.97,2.41,3.47,1.39,,1
Nonliterary,1,2,0,A dog is a walking stick.,A dog can support you on a walk.,You can carry a dog on a walk.,A dog is a mammal.,A dog can hurt you on a walk.,3.56,3.38,1.96,2.12,2.03,2.97,2.85,2.55,1.89,1.65,,1
Nonliterary,1,72,0,A dog's stomach is his master's alarm clock.,Dog owners are responsive to their dogs' hunger.,Dogs dislike hunger.,A dog's stomach is an organ.,Dogs don't know when their dogs are hungry.,5.03,5.97,3.07,4.37,3.90,3.17,4.00,3.40,3.55,1.45,,1
Nonliterary,1,84,0,A dream is a solar eclipse.,A dream is a major event.,A dream is a bright event.,A dream usually involves mental imagery.,A dream is a mundane event.,3.21,3.52,2.47,3.27,2.62,2.67,3.50,2.30,2.17,1.75,,1
Nonliterary,1,31,2,A dusty and crowded attic is a paradise to child.,A dusty and crowded attic is fun for children.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is a room in a house.,A dusty and crowded attic is a scary place,6.00,6.10,4.97,4.80,5.03,4.67,5.63,5.07,4.97,2.03,,1
Nonliterary,1,42,2,A dusty and crowded attic is a scrapbook older people love to page through.,A dusty and crowded attic has a lot of memories.,A dusty and crowded attic is fun for children.,A dusty and crowded attic is an upstairs room.,A dusty and crowded attic is a scary place,6.20,6.45,4.07,5.40,5.13,5.03,5.90,4.77,5.43,1.80,,1
Nonliterary,1,128,0,A dynasty is a play.,A dynasty has several phases.,A dynasty is predictable.,A dynasty is a period of political rule.,A dynasty never ends.,3.13,3.13,2.73,3.00,2.13,2.72,2.43,1.89,2.24,0.96,,1
Nonliterary,1,92,0,A fan is a private summer's breeze.,A fan is refreshing.,A fan is warm.,A fan is a tool for moving air around.,A fan is uncomfortable.,5.60,6.13,3.50,4.28,4.77,5.27,4.90,3.67,4.97,1.52,,1
Nonliterary,1,131,0,A fireman is a boxer.,A fireman is strong and strategic when putting out fires.,A fireman has an audience when putting out fires.,A fireman is someone who extinguishes fires.,A fireman is weak and misguided when putting out fires.,3.67,3.83,2.27,2.63,2.83,3.21,2.83,2.03,1.93,1.21,,1
Nonliterary,1,132,0,A fisherman is a spider.,A fisherman waits for their prey.,A fisherman catches food.,A fisherman is someone who goes fishing.,A fisherman attacks their prey.,3.60,3.30,2.27,2.60,3.13,2.48,2.67,1.90,2.30,1.39,,1
Nonliterary,1,65,0,A flower is a grounded bird,A flower looks different and more beautiful than most plants.,A flower looks different and more delicate than most plants.,A flower is a plant.,A flower looks different and more disgusting than most plants.,3.63,3.73,2.37,2.93,2.20,2.53,2.87,2.40,2.48,1.21,,1
Nonliterary,1,215,0,A folk dance is a braid of steps.,A folk dance is intricate. ,A folk dance can be learned.,A folk dance is a cultural expression.,A folk dance is simple.,5.13,5.53,3.90,4.33,4.30,3.87,3.93,2.47,4.70,1.31,,1
Nonliterary,1,152,3,A forest is a harmonica.,There is always noise in the forest.,A forest is relaxing.,A forest is a collection of trees.,A forest is scary.,3.70,3.37,2.53,2.60,2.23,3.03,2.57,2.03,2.60,1.43,,1
